date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,2.0.24,2020-09-29T13:55:55.85+00:00,122282,5,4,0,46251,4.573717663792337,563
2024-11-26,2.0.24,2020-09-29T13:55:55.85+00:00,122293,5,4,0,46251,4.573717663792337,563
2024-11-27,2.0.24,2020-09-29T13:55:55.85+00:00,122323,5,4,0,46251,4.573717663792337,563
2024-11-28,2.0.24,2020-09-29T13:55:55.85+00:00,122364,5,4,0,46251,4.573717663792337,563
2024-11-29,2.0.24,2020-09-29T13:55:55.85+00:00,122397,5,4,0,46252,4.573717663792337,563
2024-11-30,2.0.24,2020-09-29T13:55:55.85+00:00,122417,5,4,0,46252,4.573717663792337,563
2024-12-01,2.0.24,2020-09-29T13:55:55.85+00:00,122445,5,4,0,46252,4.573717663792337,563
2024-12-02,2.0.24,2020-09-29T13:55:55.85+00:00,122471,5,4,0.002449819529961293,46252,4.573717663792337,563
2024-12-03,2.0.24,2020-09-29T13:55:55.85+00:00,122511,5,4,0,46252,4.573717663792337,564
2024-12-04,2.0.24,2020-09-29T13:55:55.85+00:00,122545,5,4,0,46252,4.573717663792337,566
2024-12-05,2.0.24,2020-09-29T13:55:55.85+00:00,122581,5,4,0,46252,4.573717663792337,566
