date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-08-22,1.0.0,2025-08-22T06:00:44.19+00:00,5,5,1,0,5,4.455550229595204,4
2025-08-22,1.0.0,2025-08-22T06:00:44.19+00:00,5,5,1,0,2,4.455550229595204,4
2025-08-23,1.0.0,2025-08-22T06:00:44.19+00:00,7,5,1,0,1,4.455541666666667,9
2025-08-23,1.0.0,2025-08-22T06:00:44.19+00:00,7,5,2,0,5,4.455541666666667,9
2025-08-24,1.0.0,2025-08-22T06:00:44.19+00:00,9,5,1,0,12,4.455446094460528,10
2025-08-24,1.0.0,2025-08-22T06:00:44.19+00:00,9,5,1,0,1,4.455446094460528,10
2025-08-25,1.0.0,2025-08-25T01:32:46.967+00:00,6,5,7,0,3,4.45554807498768,12
2025-08-25,1.0.0,2025-08-25T01:32:46.967+00:00,6,5,1,0,4,4.45554807498768,12
2025-08-26,1.0.0,2025-08-25T01:32:46.967+00:00,13,5,1,0,54,4.4554693786941195,13
2025-08-26,1.0.0,2025-08-25T01:32:46.967+00:00,13,5,1,0,5,4.4554693786941195,13
2025-08-27,1.0.0,2025-08-25T01:32:46.967+00:00,15,5,1,0,5,4.455515644069677,13
2025-08-27,1.0.0,2025-08-25T01:32:46.967+00:00,15,5,1,0,5,4.455515644069677,13
2025-08-28,1.0.0,2025-08-25T01:32:46.967+00:00,18,5,1,0,13,4.455739181651249,13
2025-08-28,1.0.0,2025-08-25T01:32:46.967+00:00,18,5,1,0,13,4.455739181651249,13
2025-08-29,1.0.0,2025-08-25T01:32:46.967+00:00,23,5,1,0,8,4.45567928422044,15
2025-08-29,1.0.0,2025-08-25T01:32:46.967+00:00,23,5,1,0,1,4.45567928422044,15
2025-08-29,1.0.0,2025-08-25T01:32:46.967+00:00,23,5,1,0,30,4.45567928422044,15
2025-08-30,1.0.0,2025-08-25T01:32:46.967+00:00,25,5,1,0,16,4.455571168502149,15
2025-08-30,1.0.0,2025-08-25T01:32:46.967+00:00,25,5,1,0,4,4.455571168502149,15
2025-08-30,1.0.0,2025-08-25T01:32:46.967+00:00,25,5,1,0,1,4.455571168502149,15
2025-08-31,1.0.0,2025-08-25T01:32:46.967+00:00,27,5,1,0,4,4.455629450722842,15
2025-08-31,1.0.0,2025-08-25T01:32:46.967+00:00,27,5,1,0,4,4.455629450722842,15
2025-08-31,1.0.0,2025-08-25T01:32:46.967+00:00,27,5,1,0,9,4.455629450722842,15
2025-09-01,1.0.0,2025-08-25T01:32:46.967+00:00,34,5,2,0,50,4.455486370554864,15
2025-09-01,1.0.0,2025-08-25T01:32:46.967+00:00,34,5,1,0,47,4.455486370554864,15
2025-09-01,1.0.0,2025-08-25T01:32:46.967+00:00,34,5,2,0,3,4.455486370554864,15
2025-09-02,1.0.0,2025-08-25T01:32:46.967+00:00,36,5,2,0,24,4.455414937759336,15
