date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-01-22,2.0.0,2026-01-22T07:15:48.477+00:00,166,5,1,0,219,4.454274574237801,146
2026-01-23,2.0.0,2026-01-22T07:15:48.477+00:00,166,5,2,0,273,4.45426998142778,150
2026-01-24,2.0.0,2026-01-22T07:15:48.477+00:00,166,5,2,0,275,4.454209662288931,151
2026-01-25,2.0.0,2026-01-22T07:15:48.477+00:00,166,5,1,0,275,4.454241151378985,154
2026-01-26,2.0.0,2026-01-22T07:15:48.477+00:00,166,5,1,0,275,4.454343071395095,154
2026-01-27,2.0.0,2026-01-22T07:15:48.477+00:00,168,5,1,0,279,4.454500504212615,155
2026-01-28,2.0.0,2026-01-22T07:15:48.477+00:00,169,5,1,0,280,4.454693240563124,157
2026-01-29,2.0.0,2026-01-22T07:15:48.477+00:00,169,5,1,0,281,4.454734529666773,158
2026-01-30,2.0.0,2026-01-22T07:15:48.477+00:00,170,5,1,0,283,4.454742723492724,158
2026-01-31,2.0.0,2026-01-22T07:15:48.477+00:00,171,5,1,0,283,4.454827042085236,159
2026-02-01,2.0.0,2026-01-22T07:15:48.477+00:00,171,5,1,0,283,4.454765599132642,160
2026-02-02,2.0.0,2026-01-22T07:15:48.477+00:00,171,5,1,0,283,4.454886461720175,160
2026-02-03,2.0.0,2026-01-22T07:15:48.477+00:00,171,5,1,0,283,4.454922817486056,162
2026-02-04,2.0.0,2026-01-22T07:15:48.477+00:00,173,5,1,0,283,4.454871984387865,163
2026-02-05,2.0.0,2026-01-22T07:15:48.477+00:00,173,5,1,0,284,4.454881321216992,163
2026-02-06,2.0.0,2026-01-22T07:15:48.477+00:00,175,5,1,0,288,4.454830537575887,163
2026-02-07,2.0.0,2026-01-22T07:15:48.477+00:00,175,5,1,0,288,4.454788009092264,165
2026-02-08,2.0.0,2026-01-22T07:15:48.477+00:00,175,5,1,0,288,4.4547243712167806,167
2026-02-09,2.0.0,2026-01-22T07:15:48.477+00:00,176,5,1,0,289,4.454633117177287,167
2026-02-10,2.0.0,2026-01-22T07:15:48.477+00:00,179,5,1,0,291,4.454747707312025,169
2026-02-11,2.0.0,2026-01-22T07:15:48.477+00:00,181,5,1,0,292,4.454681207294447,169
2026-02-12,2.0.0,2026-01-22T07:15:48.477+00:00,182,5,1,0,292,4.454739304337712,169
2026-02-13,2.0.0,2026-01-22T07:15:48.477+00:00,183,5,1,0,292,4.454665245615735,169
2026-02-14,2.0.0,2026-01-22T07:15:48.477+00:00,183,5,1,0,292,4.454664609146495,172
2026-02-15,2.0.0,2026-01-22T07:15:48.477+00:00,184,5,1,0,292,4.454718564420346,173
2026-02-16,2.0.0,2026-01-22T07:15:48.477+00:00,185,5,1,0,292,4.454732005730289,173
2026-02-17,2.0.0,2026-01-22T07:15:48.477+00:00,185,5,1,0,292,4.454779428365016,175
2026-02-18,2.0.0,2026-01-22T07:15:48.477+00:00,186,5,1,0,292,4.455594516231104,177
2026-02-19,2.0.0,2026-01-22T07:15:48.477+00:00,191,5,1,0,292,4.455499038200855,178
2026-02-20,2.0.0,2026-01-22T07:15:48.477+00:00,193,5,1,0,292,4.455393153292679,179
2026-02-21,2.0.0,2026-01-22T07:15:48.477+00:00,194,5,1,0,292,4.455349539366726,181
2026-02-22,2.0.0,2026-01-22T07:15:48.477+00:00,195,5,1,0,292,4.455457740801651,181
2026-02-23,2.0.0,2026-01-22T07:15:48.477+00:00,196,5,1,0,292,4.455322660717854,183
2026-02-24,2.0.0,2026-01-22T07:15:48.477+00:00,200,5,2,0,292,4.455393161401745,185
2026-02-25,2.0.0,2026-01-22T07:15:48.477+00:00,206,5,2,0,292,4.45553015423254,187
2026-02-26,2.0.1,2026-02-26T08:56:09.923+00:00,206,5,2,0,332,4.455524947222079,191
2026-02-27,2.0.2,2026-02-27T08:22:31.63+00:00,207,5,2,0,411,4.4555940839289505,196
2026-02-28,2.0.2,2026-02-27T08:22:31.63+00:00,207,5,2,0,457,4.45566055930569,204
2026-03-01,2.0.2,2026-02-27T08:22:31.63+00:00,207,5,2,0,459,4.455835769589103,208
2026-03-02,2.0.2,2026-02-27T08:22:31.63+00:00,209,5,2,0,473,4.455847500626208,211
2026-03-03,2.0.2,2026-02-27T08:22:31.63+00:00,211,5,2,0,481,4.455920592219733,212
2026-03-04,2.0.2,2026-02-27T08:22:31.63+00:00,212,5,2,0,484,4.455632275369945,212
2026-03-05,2.0.2,2026-02-27T08:22:31.63+00:00,212,5,2,0,489,4.455583349368225,213
2026-03-06,2.0.2,2026-02-27T08:22:31.63+00:00,216,5,2,0,494,4.4556433003435725,218
2026-03-07,2.0.2,2026-02-27T08:22:31.63+00:00,217,5,2,0,495,4.4555930639985135,222
